experiment_id,run_id,date,commit,platform,model,precision,input_size,batch,status,primary_metric,latency_ms,fps,power_w,output_path,document
Exp00,project_initialization,2026-08-02,863bc0f,Windows,,,,,PASS,,,,,,docs/experiments/exp00_project_initialization.md
Exp01,environment_audit,2026-08-02,8d8b254,AutoDL+Jetson,,,,,PASS,,,,,,docs/01_environment.md
Exp02,exp02_6_yolo11n_baseline_e100_20260804_185444,2026-08-04,e5ca2ed,AutoDL,YOLO11n,AMP,640,16,PASS,test_mAP50-95=0.52047856,,,,results/training/exp02_6_yolo11n_baseline_e100_20260804_185444,docs/02_YOLO11n基线训练与评估总结.md
Exp03,exp03_2_yolo11n_p2_e100_20260804_194556,2026-08-04,747a1b8,AutoDL,YOLO11n-P2,AMP,640,16,REJECT,test_mAP50-95=0.51273409,,,,results/training/exp03_2_yolo11n_p2_e100_20260804_194556,docs/03_YOLO11n-P2小目标结构消融总结.md
Exp04,exp04_4_yolo11n_rep_deploy_20260804_225458,2026-08-04,8839178,AutoDL,YOLO11n-Rep,FP32,640,,REJECT,test_mAP50-95=0.52323539,,,,results/model_conversion/exp04_4_yolo11n_rep_deploy_20260804_225458,docs/04_YOLO11n部署可重参数化结构消融总结.md
Exp05,exp05_1_attention_e100_20260805_155714,2026-08-05,ee62bf3,AutoDL,YOLO11n-CBAM-Lite,AMP,640,16,REJECT,test_mAP50-95=0.52056023,,,,results/training/exp05_1_attention_e100_20260805_155714,docs/05_YOLO11n轻量注意力与Focal损失消融总结.md
Exp05,exp05_2_focal_e100_20260805_162350,2026-08-05,ee62bf3,AutoDL,YOLO11n-Focal,AMP,640,16,REJECT,test_mAP50-95=0.52693756,,,,results/training/exp05_2_focal_e100_20260805_162350,docs/05_YOLO11n轻量注意力与Focal损失消融总结.md
Exp06,exp06_1_onnx_formal_20260806_155847,2026-08-06,d9cd7cb,AutoDL,YOLO11n-baseline,FP32-ONNX,640,1,PASS,onnx_mAP50-95=0.51385152;delta=+0.00008338,,,,results/onnx/exp06_1_onnx_formal_20260806_155847,docs/06_YOLO11n基线ONNX导出与一致性验证总结.md
Exp07,exp07_1b_full_test_consistency_20260806_175921,2026-08-06,0b09fa4,Jetson,YOLO11n-baseline,FP32+FP16-TensorRT,640,1,PASS,fp32_mAP50-95=0.52160406;fp16_mAP50-95=0.52192881,,,,results/tensorrt/exp07_1b_full_test_consistency_20260806_175921,docs/07_YOLO11n基线TensorRT_FP32_FP16部署与验证总结.md
Exp07,exp07_2_trt_fp32_fp16_benchmark_20260806_180305,2026-08-06,0b09fa4,Jetson,YOLO11n-baseline,FP32+FP16-TensorRT,640,1,PASS,fp16_gpu_only_speedup=2.9432x,3.479713,287.295,,results/tensorrt/exp07_2_trt_fp32_fp16_benchmark_20260806_180305,docs/07_YOLO11n基线TensorRT_FP32_FP16部署与验证总结.md
Exp08,exp08_0_prepare_calibration_20260807_145356,2026-08-07,703bc2d,AutoDL,YOLO11n-baseline,INT8-calibration-data,640,1,PASS,train_only_256;max_distribution_delta=0.0053134517,,,,results/int8/exp08_0_prepare_calibration_20260807_145356,docs/08_YOLO11n基线INT8_PTQ部署与验证总结.md
Exp08,exp08_2_int8_formal_20260807_153244,2026-08-07,58a7968,Jetson,YOLO11n-baseline,INT8-TensorRT,640,1,PASS,engine_shape=1x7x8400;finite=true,,,,results/int8/exp08_2_int8_formal_20260807_153244,docs/08_YOLO11n基线INT8_PTQ部署与验证总结.md
Exp08,exp08_3_int8_full_test_20260807_160357,2026-08-07,dafab2e,Jetson,YOLO11n-baseline,FP16+INT8-TensorRT,640,1,REJECT,int8_mAP50-95=0.50801483;delta=-0.01391398;tiny_small_delta=-0.30069930,,,,results/int8/exp08_3_int8_full_test_20260807_160357,docs/08_YOLO11n基线INT8_PTQ部署与验证总结.md
Exp08,exp08_4_int8_benchmark_20260807_160526,2026-08-07,dafab2e,Jetson,YOLO11n-baseline,FP16+INT8-TensorRT,640,1,PASS,int8_speedup=1.3411x;size_reduction=39.8177%,2.714804,368.202,,results/int8/exp08_4_int8_benchmark_20260807_160526,docs/08_YOLO11n基线INT8_PTQ部署与验证总结.md
Exp09,exp09_0_cpp_runtime_smoke_20260807_164202,2026-08-07,8c8f5ac,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,cpp_vs_python_raw_error=0;detections=30,10.326598,,,results/runtime/exp09_0_cpp_runtime_smoke_20260807_164202,docs/09_TensorRT_CPP_Runtime部署与验证总结.md
Exp09,exp09_1_cpp_runtime_formal_20260807_164714,2026-08-07,ea4b7c2,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,3_processes;bitwise_equal=true;host_mean_range=6.606200-6.638301,6.606200,,,results/runtime/exp09_1_cpp_runtime_formal_20260807_164714,docs/09_TensorRT_CPP_Runtime部署与验证总结.md
Exp10,exp10_0_cuda_preprocess_smoke_20260807_171417,2026-08-07,d4921af,Jetson,YOLO11n-baseline,CUDA-FP32-preprocess,640,1,PASS,hd_wide_cpu_vs_cuda_error=0;kernel_reduction=89.83%,0.283155,,,results/cuda_preprocess/exp10_0_cuda_preprocess_smoke_20260807_171417,docs/10_CUDA融合预处理与验证总结.md
Exp10,exp10_1_cuda_preprocess_formal_20260807_173638,2026-08-07,e2ee8c2,Jetson,YOLO11n-baseline,CUDA-FP32-preprocess,640,1,PASS,5_shapes_bitwise_equal=true;kernel_reduction=91.2029%,0.200761,4981.05,,results/cuda_preprocess/exp10_1_cuda_preprocess_formal_20260807_173638,docs/10_CUDA融合预处理与验证总结.md
Exp11,exp11_1_file_video_formal_20260807_210628,2026-08-07,1325268,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,3_processes;150_frames;151_detections;digest_equal=true,15.695289,63.713,,results/video/exp11_1_file_video_formal_20260807_210628,docs/11_视频摄像头端到端推理总结.md
Exp11,exp11_3_imx219_formal_20260807_210742,2026-08-07,1325268,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,imx219_1920x1080_30;300_frames;300_detections,31.832115,31.415,,results/video/exp11_3_imx219_formal_20260807_210742,docs/11_视频摄像头端到端推理总结.md
Exp12,exp12_1_unlocked_baseline_20260808_142533,2026-08-08,1bf2c87,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,unlocked_25W;p95=33.471982;p99=34.342964;temp_max=52.875C;vdd_mean=8.124W,31.874585,31.373,8.124,results/benchmark/exp12_1_unlocked_baseline_20260808_142533,docs/12_Jetson性能功耗温度稳定性总结.md
Exp12,exp12_2_locked_repeatability_20260808_143508,2026-08-08,1bf2c87,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,3x1800_frames;mean_cv=0.04885%;fps_cv=0.04886%;p95_span=0.74888%,32.188104,31.067,9.323,results/benchmark/exp12_2_locked_repeatability_20260808_143508,docs/12_Jetson性能功耗温度稳定性总结.md
Exp12,exp12_3_locked_stability_20260808_143647,2026-08-08,1bf2c87,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,54000_frames;p95=32.885361;p99=33.520855;temp_max=57.968C;rss_slope=0.003680MiB_min,32.300146,30.960,9.100,results/benchmark/exp12_3_locked_stability_20260808_143647,docs/12_Jetson性能功耗温度稳定性总结.md
Exp13,exp13_profile_file_20260808_165117,2026-08-08,5ad07aa,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP-NVTX,640,1,PASS,gpu_idle=33.80996%;overlap=0%;h2d=6220800B;d2h=235200B,15.717475,63.618,,results/profiling/exp13_profile_file_20260808_165117,docs/13_Nsight端到端性能瓶颈分析总结.md
Exp13,exp13_file_benchmark_compare_20260808_165145,2026-08-08,5ad07aa,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,3_runs;pipeline_fps_cv=3.00207%;detection_digest_equal=true,15.129539,61.583,,results/profiling/exp13_file_benchmark_compare_20260808_165145,docs/13_Nsight端到端性能瓶颈分析总结.md
Exp13,exp13_profile_camera_20260808_165306,2026-08-08,5ad07aa,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP-NVTX,640,1,PASS,capture_share=43.92004%;gpu_idle=63.30605%;overlap=0%,33.228236,30.093,,results/profiling/exp13_profile_camera_20260808_165306,docs/13_Nsight端到端性能瓶颈分析总结.md
Exp13,exp13_camera_benchmark_compare_20260808_165500,2026-08-08,5ad07aa,Jetson,YOLO11n-baseline,FP16-TensorRT-CPP,640,1,PASS,3_runs;pipeline_fps_cv=0.02849%;input_rate_bound=true,31.824285,30.174,,results/profiling/exp13_camera_benchmark_compare_20260808_165500,docs/13_Nsight端到端性能瓶颈分析总结.md
